route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
EY:EYAG002:G2,EY,G2,,,3,,FFFFFF,000000
EY:EYAG003:G3,EY,G3,,,3,,FFFFFF,000000
EY:EYAG004:G4,EY,G4,,,3,,FFFFFF,000000
EY:EYAG005:G5,EY,G5,,,3,,FFFFFF,000000
EY:EYAM001:M1,EY,M1,,,3,,FFFFFF,000000
EY:EYAM003:M3,EY,M3,,,3,,FFFFFF,000000
EY:EYAM005:M5,EY,M5,,,3,,FFFFFF,000000
EY:EYAM008:M8,EY,M8,,,3,,FFFFFF,000000
EY:EYAOAT0:OAT,EY,OAT,,,3,,FFFFFF,000000
EY:EYCX045:X45,EY,X45,,,3,,FFFFFF,000000
EY:EYCX046:X46,EY,X46,,,3,,FFFFFF,000000
EY:EYCX047:X47,EY,X47,,,3,,FFFFFF,000000
EY:EYBY012:Y12,EY,Y12,,,3,,FFFFFF,000000
EY:EYBY014:Y14,EY,Y14,,,3,,FFFFFF,000000
