stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3290YYA00229,,"Huby Court",,53.955563,-1.071731,,,,,,
3290YYA00230,,"Huby Court",,53.955272,-1.071296,,,,,,
3290YYA01030,,"Mallard Court",,53.922829,-0.939367,,,,,,
3290YYA01029,,"Mallard Court",,53.922864,-0.93926,,,,,,
3290YYA00319,,"Matmer House",,53.954071,-1.057988,,,,,,
3290YYA00228,,"Melrose's Yard",,53.95674,-1.075226,,,,,,
3290YYA00288,,"Milson Grove",,53.953926,-1.052064,,,,,,
3290YYA00289,,"Milson Grove",,53.953776,-1.051305,,,,,,
3290YYA00090,,"Nicholas Street",,53.954521,-1.064912,,,,,,
3290YYA00275,,"Osbaldwick Pinelands Way",,53.954077,-1.034886,,,,,,
3290YYA00272,,"Osbaldwick Pinelands Way",,53.953844,-1.037223,,,,,,
3290YYA00924,,"Rougier Street Stop C",,53.958441,-1.087304,,,,,,
3290YYA00095,,"Rougier Street Stop E",,53.958706,-1.087847,,,,,,
3290YYA00089,,"St Joseph's Convent",,53.954427,-1.0656,,,,,,
3290YYA00087,,"St Lawrence Church",,53.954641,-1.068841,,,,,,
2200YEA01022,,Storwood,,53.890051,-0.918469,,,,,,
3290YYA01058,,"The Boulevard",,53.954474,-1.061256,,,,,,
3290YYA01665,,"Village Hall",,53.920259,-0.934407,,,,,,
3290YYA00631,,"Village Hall",,53.920178,-0.934409,,,,,,
3290YYA00276,,"Windmill Lane",,53.953869,-1.044826,,,,,,
3290YYA00290,,"Windmill Lane",,53.953723,-1.046872,,,,,,
3290YYA03595,,"York Maze",,53.939129,-0.984655,,,,,,
3290YYA03596,,"York Maze",,53.939022,-0.984703,,,,,,
2200YEA90001,,Broadmanor,,53.923662,-0.778261,,,,,,
2200YEA90002,,"Garths End/Algarth",,53.934315,-0.782032,,,,,,
2200YEA00546,,"Pocklington Barmby Road",,53.931711,-0.784865,,,,,,
2200YEA00516,,"Pocklington Chapmangate",,53.932094,-0.77835,,,,,,
2200YEA01449,,"Pocklington George Street",,53.93183,-0.781587,,,,,,
