shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
SHAPE_1,0,53.74009440982542,-0.5695078177118119
SHAPE_1,1,53.74007220035947,-0.5690198563104466
SHAPE_1,2,53.73998336237833,-0.5686979951576365
SHAPE_1,3,53.739900869799115,-0.568419048825184
SHAPE_1,4,53.73975492099305,-0.568129373787647
SHAPE_1,5,53.73952647836606,-0.5678021275897273
SHAPE_1,6,53.7393614912521,-0.567598282192925
SHAPE_1,7,53.739174293549986,-0.5673998011487048
SHAPE_1,8,53.7389331562981,-0.5671691339891716
SHAPE_1,9,53.738333480028516,-0.5665039542733631
SHAPE_1,10,53.73817800700634,-0.566241100998557
SHAPE_1,11,53.73802253340905,-0.5660748060695898
SHAPE_1,12,53.73735938446449,-0.5650394575429974
SHAPE_1,13,53.73632815120507,-0.5631565697990171
SHAPE_1,14,53.73549362699962,-0.5617778921012118
SHAPE_1,15,53.73456071720972,-0.5602275942151259
SHAPE_1,16,53.73361192037064,-0.5586611612969296
SHAPE_1,17,53.73265992877469,-0.5569982120073781
SHAPE_1,18,53.73242192750704,-0.5566280716816285
SHAPE_1,19,53.7322156586518,-0.5562311095931484
SHAPE_1,20,53.73178407746513,-0.5553889062432883
SHAPE_1,21,53.7317618636077,-0.555286983544887
SHAPE_1,22,53.732028429122316,-0.5549114788665954
SHAPE_1,23,53.73232037988942,-0.5545037880730309
SHAPE_1,24,53.732574248473576,-0.5540531824590889
SHAPE_1,25,53.73265040874986,-0.5538439727097645
SHAPE_1,26,53.73266627545672,-0.5536293986078779
SHAPE_1,27,53.73266944879737,-0.5534201888585534
SHAPE_1,28,53.73264088872288,-0.5532056147566667
SHAPE_1,29,53.73257742182117,-0.5530178624175309
SHAPE_1,30,53.73252982158202,-0.5528891179563988
SHAPE_1,31,53.73244096765806,-0.5527335517325361
SHAPE_1,32,53.73227277935919,-0.552535070688296
SHAPE_1,33,53.732145844348494,-0.552508248925565
SHAPE_1,34,53.732006215393994,-0.5524975202204608
SHAPE_1,35,53.73195861450807,-0.5523848688169753
SHAPE_1,36,53.7318951465763,-0.552052278959061
SHAPE_1,37,53.731818984931685,-0.5515748515823882
SHAPE_1,38,53.73177455724194,-0.5512315330193895
SHAPE_1,39,53.731796771092704,-0.5510437806802339
SHAPE_1,40,53.73185389236926,-0.5508882144563709
SHAPE_1,41,53.731952267719194,-0.5507809274054476
SHAPE_1,42,53.73206333638598,-0.5507272838799661
SHAPE_1,43,53.73217123138131,-0.550695097764693
SHAPE_1,44,53.73228229946956,-0.5506575472968578
SHAPE_1,45,53.732485394643525,-0.5505770820086454
SHAPE_1,46,53.73267896881789,-0.5504644306051599
SHAPE_1,47,53.73284080883691,-0.550239127798189
SHAPE_1,48,53.732970915067085,-0.5499387240555677
SHAPE_1,49,53.73307880773303,-0.5496383203129263
